video_id,channel_id,published_date,video_title,video_description,likes,views,comment_count
F2vbPzCGj6c,UCbqcG1rdt9LMwOJN4PyGTKg,2012-04-03T07:48:45Z,A Thousand Years - Christina Perri | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/christina-perri/a-thousand-years.html

Sing Online: https://www.karafun.com/karaoke/christina-perri/a-thousand-years/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of A Thousand Years as made famous by Christina Perri - This version is not the original version, and is not performed by Christina Perri. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Christina Perri",92466,25295309,4250
BvW4efU0HTQ,UCbqcG1rdt9LMwOJN4PyGTKg,2013-05-14T11:22:16Z,Karaoke Colgando en tus manos (duo) - Carlos Baute & Marta Sanchez *,"Descargar MP3: https://www.version-karaoke.es/playbacks/carlos-baute/colgando-en-tus-manos-duo.html

Cantar Online: https://www.karafun.es/karaoke/carlos-baute/colgando-en-tus-manos-duo/


* Esta versión contiene una guía vocal con bajo volumen. La versión con y sin la guía vocal está disponible en www.karafun.es. Esta grabación es una versión de Colgando en tus manos (duo) hecha famosa por Carlos Baute & Marta Sanchez - El título propuesto es una pista de fondo, no es la música original, no es cantada por Carlos Baute & Marta Sanchez. Esta versión instrumental/reproducción contiene una guía vocal, las letras y las voces.


Todos los activos de los canales de KaraFun se utilizan con permiso mediante un acuerdo de licencia con los titulares de los derechos (composición musical, regrabado de sonido).

#karafun #karaoke #Carlos Baute & Marta Sanchez",44764,25648224,792
81_2Xb0XB_E,UCbqcG1rdt9LMwOJN4PyGTKg,2011-11-07T15:42:27Z,Zombie - The Cranberries | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/the-cranberries/zombie.html

Sing Online: https://www.karafun.com/karaoke/the-cranberries/zombie/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Zombie as made famous by The Cranberries - This version is not the original version, and is not performed by The Cranberries. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #The Cranberries",96475,27121865,1617
0qE3egNettY,UCbqcG1rdt9LMwOJN4PyGTKg,2013-06-13T11:26:27Z,Just Give Me a Reason - Pink feat. Nate Ruess | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/pink/just-give-me-a-reason.html

Sing Online: https://www.karafun.com/karaoke/pink/just-give-me-a-reason/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Just Give Me a Reason as made famous by Pink feat. Nate Ruess - This version is not the original version, and is not performed by Pink feat. Nate Ruess. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Pink feat. Nate Ruess",41222,18237399,740
IQEzFe9-bsg,UCbqcG1rdt9LMwOJN4PyGTKg,2012-05-11T11:12:06Z,My Heart Will Go On - Céline Dion (Titanic) | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/celine-dion/my-heart-will-go-on.html

Sing Online: https://www.karafun.com/karaoke/celine-dion/my-heart-will-go-on/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of My Heart Will Go On as made famous by Céline Dion (Titanic) - This version is not the original version, and is not performed by Céline Dion (Titanic). This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Céline Dion (Titanic)",45401,15201262,1705
uhiamj_I7II,UCbqcG1rdt9LMwOJN4PyGTKg,2013-07-02T11:00:08Z,Sweet Child o' Mine - Guns N' Roses | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/guns-n-roses/sweet-child-o-mine.html

Sing Online: https://www.karafun.com/karaoke/guns-n-roses/sweet-child-o-mine/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Sweet Child o' Mine as made famous by Guns N' Roses - This version is not the original version, and is not performed by Guns N' Roses. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Guns N' Roses",55961,19802776,1041
RPtJzF1fxJ0,UCbqcG1rdt9LMwOJN4PyGTKg,2012-04-05T11:29:36Z,Killing Me Softly - The Fugees | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/the-fugees/killing-me-softly.html

Sing Online: https://www.karafun.com/karaoke/the-fugees/killing-me-softly/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Killing Me Softly as made famous by The Fugees - This version is not the original version, and is not performed by The Fugees. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #The Fugees",32186,16773314,447
OnkPbrroWpY,UCbqcG1rdt9LMwOJN4PyGTKg,2013-01-07T12:13:57Z,Diamonds - Rihanna | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/rihanna/diamonds.html

Sing Online: https://www.karafun.com/karaoke/rihanna/diamonds/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Diamonds as made famous by Rihanna - This version is not the original version, and is not performed by Rihanna. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Rihanna",35135,10884824,677
f2bcREkpE0I,UCbqcG1rdt9LMwOJN4PyGTKg,2013-05-02T11:29:15Z,Imagine - John Lennon | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/john-lennon/imagine.html

Sing Online: https://www.karafun.com/karaoke/john-lennon/imagine/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Imagine as made famous by John Lennon - This version is not the original version, and is not performed by John Lennon. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #John Lennon",33053,11530185,745
yz2A7HjEg5k,UCbqcG1rdt9LMwOJN4PyGTKg,2011-12-07T15:28:42Z,Dance With My Father - Luther Vandross | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/luther-vandross/dance-with-my-father.html

Sing Online: https://www.karafun.com/karaoke/luther-vandross/dance-with-my-father/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Dance With My Father as made famous by Luther Vandross - This version is not the original version, and is not performed by Luther Vandross. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Luther Vandross",15482,10349496,593
