Column1;index;video_id;channel_id;published_date;video_title;video_description;likes;views;comment_count;Styles
0;0;F2vbPzCGj6c;UCbqcG1rdt9LMwOJN4PyGTKg;3.04.2012 09:48;A Thousand Years - Christina Perri | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/christina-perri/a-thousand-years.html

Sing Online: https://www.karafun.com/karaoke/christina-perri/a-thousand-years/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of A Thousand Years as made famous by Christina Perri - This version is not the original version, and is not performed by Christina Perri. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Christina Perri";92468;25295671;4250;Pop,TV & movie soundtrack
1;1;BvW4efU0HTQ;UCbqcG1rdt9LMwOJN4PyGTKg;14.05.2013 13:22;Karaoke Colgando en tus manos (duo) - Carlos Baute & Marta Sanchez *;"Descargar MP3: https://www.version-karaoke.es/playbacks/carlos-baute/colgando-en-tus-manos-duo.html

Cantar Online: https://www.karafun.es/karaoke/carlos-baute/colgando-en-tus-manos-duo/


* Esta versión contiene una guía vocal con bajo volumen. La versión con y sin la guía vocal está disponible en www.karafun.es. Esta grabación es una versión de Colgando en tus manos (duo) hecha famosa por Carlos Baute & Marta Sanchez - El título propuesto es una pista de fondo, no es la música original, no es cantada por Carlos Baute & Marta Sanchez. Esta versión instrumental/reproducción contiene una guía vocal, las letras y las voces.


Todos los activos de los canales de KaraFun se utilizan con permiso mediante un acuerdo de licencia con los titulares de los derechos (composición musical, regrabado de sonido).

#karafun #karaoke #Carlos Baute & Marta Sanchez";44774;25660436;792;Duet,Latin Music,Pop
2;2;81_2Xb0XB_E;UCbqcG1rdt9LMwOJN4PyGTKg;7.11.2011 16:42;Zombie - The Cranberries | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/the-cranberries/zombie.html

Sing Online: https://www.karafun.com/karaoke/the-cranberries/zombie/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Zombie as made famous by The Cranberries - This version is not the original version, and is not performed by The Cranberries. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #The Cranberries";96514;27130172;1617;Rock,Alternative
3;3;0qE3egNettY;UCbqcG1rdt9LMwOJN4PyGTKg;13.06.2013 13:26;Just Give Me a Reason - Pink feat. Nate Ruess | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/pink/just-give-me-a-reason.html

Sing Online: https://www.karafun.com/karaoke/pink/just-give-me-a-reason/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Just Give Me a Reason as made famous by Pink feat. Nate Ruess - This version is not the original version, and is not performed by Pink feat. Nate Ruess. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Pink feat. Nate Ruess";41231;18239667;740;Pop,Duet,Soft rock
4;4;IQEzFe9-bsg;UCbqcG1rdt9LMwOJN4PyGTKg;11.05.2012 13:12;My Heart Will Go On - Céline Dion (Titanic) | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/celine-dion/my-heart-will-go-on.html

Sing Online: https://www.karafun.com/karaoke/celine-dion/my-heart-will-go-on/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of My Heart Will Go On as made famous by Céline Dion (Titanic) - This version is not the original version, and is not performed by Céline Dion (Titanic). This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Céline Dion (Titanic)";45402;15201664;1705;TV & movie soundtrack,Love,Pop
5;5;uhiamj_I7II;UCbqcG1rdt9LMwOJN4PyGTKg;2.07.2013 13:00;Sweet Child o' Mine - Guns N' Roses | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/guns-n-roses/sweet-child-o-mine.html

Sing Online: https://www.karafun.com/karaoke/guns-n-roses/sweet-child-o-mine/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Sweet Child o' Mine as made famous by Guns N' Roses - This version is not the original version, and is not performed by Guns N' Roses. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Guns N' Roses";55987;19810884;1041;Rock,Hard/Metal
6;6;RPtJzF1fxJ0;UCbqcG1rdt9LMwOJN4PyGTKg;5.04.2012 13:29;Killing Me Softly - The Fugees | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/the-fugees/killing-me-softly.html

Sing Online: https://www.karafun.com/karaoke/the-fugees/killing-me-softly/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Killing Me Softly as made famous by The Fugees - This version is not the original version, and is not performed by The Fugees. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #The Fugees";32191;16776300;447;R&B,Rap
7;7;OnkPbrroWpY;UCbqcG1rdt9LMwOJN4PyGTKg;7.01.2013 13:13;Diamonds - Rihanna | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/rihanna/diamonds.html

Sing Online: https://www.karafun.com/karaoke/rihanna/diamonds/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Diamonds as made famous by Rihanna - This version is not the original version, and is not performed by Rihanna. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Rihanna";35136;10884941;677;Pop,Electro,Soul
8;8;f2bcREkpE0I;UCbqcG1rdt9LMwOJN4PyGTKg;2.05.2013 13:29;Imagine - John Lennon | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/john-lennon/imagine.html

Sing Online: https://www.karafun.com/karaoke/john-lennon/imagine/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Imagine as made famous by John Lennon - This version is not the original version, and is not performed by John Lennon. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #John Lennon";33054;11531598;745;Pop,Soft rock
9;9;yz2A7HjEg5k;UCbqcG1rdt9LMwOJN4PyGTKg;7.12.2011 16:28;Dance With My Father - Luther Vandross | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/luther-vandross/dance-with-my-father.html

Sing Online: https://www.karafun.com/karaoke/luther-vandross/dance-with-my-father/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Dance With My Father as made famous by Luther Vandross - This version is not the original version, and is not performed by Luther Vandross. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Luther Vandross";15484;10350188;593;R&B,Love
